DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
AA	k5_L30	0.25	0.5	3	5168	541	811	295674	0.864358573936	0.599852026638
AA	k5_L30	0.25	0.5	4	4928	419	1385	295462	0.780611424353	0.767738316644
AA	k5_L30	0.25	0.5	16	5048	1832	5382	289932	0.483988490086	0.746049338147
AA	k5_L30	0.5	0.1	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k5_L30	0.5	0.1	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k5_L30	0.5	0.1	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k5_L30	0.5	0.25	3	5148	541	811	295694	0.863903324989	0.599852026638
AA	k5_L30	0.5	0.25	4	4915	419	1385	295475	0.780158717775	0.767738316644
AA	k5_L30	0.5	0.25	16	4913	1832	5382	290067	0.477221947769	0.746049338147
AA	k5_L30	0.5	0.5	3	5168	541	811	295674	0.864358573936	0.599852026638
AA	k5_L30	0.5	0.5	4	4928	419	1385	295462	0.780611424353	0.767738316644
AA	k5_L30	0.5	0.5	16	5048	1832	5382	289932	0.483988490086	0.746049338147
AA	k9_L54	0.1	0.1	3	2896	554	798	297946	0.783973990688	0.590236642734
AA	k9_L54	0.1	0.1	4	2923	419	1385	297467	0.678505091028	0.767738316644
AA	k9_L54	0.1	0.1	16	2692	1955	5259	292288	0.338573760048	0.728999158179
AA	k9_L54	0.1	0.25	3	3836	548	804	297006	0.826724120114	0.594674512228
AA	k9_L54	0.1	0.25	4	3645	419	1385	296745	0.724652073069	0.767738316644
AA	k9_L54	0.1	0.25	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k9_L54	0.1	0.5	3	4032	548	804	296810	0.833746881023	0.594674512228
AA	k9_L54	0.1	0.5	4	3726	419	1385	296664	0.729015833907	0.767738316644
AA	k9_L54	0.1	0.5	16	3861	1890	5324	291119	0.420359276861	0.738009415886
AA	k9_L54	0.25	0.1	3	2915	549	803	297927	0.784023647552	0.593934867313
AA	k9_L54	0.25	0.1	4	2952	419	1385	297438	0.680654814834	0.767738316644
AA	k9_L54	0.25	0.1	16	2692	1955	5259	292288	0.338573760048	0.728999158179
AA	k9_L54	0.25	0.25	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k9_L54	0.25	0.25	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k9_L54	0.25	0.25	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k9_L54	0.25	0.5	3	4412	543	809	296430	0.845048825033	0.598372736807
AA	k9_L54	0.25	0.5	4	4203	419	1385	296187	0.75214744538	0.767738316644
AA	k9_L54	0.25	0.5	16	3861	1890	5324	291119	0.420359276861	0.738009415886
AA	k9_L54	0.5	0.1	3	2915	549	803	297927	0.784023647552	0.593934867313
AA	k9_L54	0.5	0.1	4	2952	419	1385	297438	0.680654814834	0.767738316644
AA	k9_L54	0.5	0.1	16	2692	1955	5259	292288	0.338573760048	0.728999158179
AA	k9_L54	0.5	0.25	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k9_L54	0.5	0.25	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k9_L54	0.5	0.25	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k9_L54	0.5	0.5	3	4412	543	809	296430	0.845048825033	0.598372736807
AA	k9_L54	0.5	0.5	4	4203	419	1385	296187	0.75214744538	0.767738316644
AA	k9_L54	0.5	0.5	16	3861	1890	5324	291119	0.420359276861	0.738009415886
AA	k17_Linf	0.1	0.1	3	2901	571	781	297941	0.787886996527	0.577662679167
AA	k17_Linf	0.1	0.1	4	2847	482	1322	297543	0.682897560976	0.732815923902
AA	k17_Linf	0.1	0.1	16	2665	5973	1241	292315	0.682283648687	0.172026612531
AA	k17_Linf	0.1	0.25	3	3730	543	809	297112	0.821766890906	0.598372736807
AA	k17_Linf	0.1	0.25	4	3622	430	1374	296768	0.724979969476	0.761640756007
AA	k17_Linf	0.1	0.25	16	3285	3423	3791	291695	0.464245329787	0.525505953348
AA	k17_Linf	0.1	0.5	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k17_Linf	0.1	0.5	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k17_Linf	0.1	0.5	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k17_Linf	0.25	0.1	3	2901	571	781	297941	0.787886996527	0.577662679167
AA	k17_Linf	0.25	0.1	4	2847	482	1322	297543	0.682897560976	0.732815923902
AA	k17_Linf	0.25	0.1	16	2665	5973	1241	292315	0.682283648687	0.172026612531
AA	k17_Linf	0.25	0.25	3	3730	543	809	297112	0.821766890906	0.598372736807
AA	k17_Linf	0.25	0.25	4	3622	430	1374	296768	0.724979969476	0.761640756007
AA	k17_Linf	0.25	0.25	16	3285	3423	3791	291695	0.464245329787	0.525505953348
AA	k17_Linf	0.25	0.5	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k17_Linf	0.25	0.5	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k17_Linf	0.25	0.5	16	3696	1896	5318	291284	0.410028839472	0.73717769979
AA	k17_Linf	0.5	0.1	3	2901	571	781	297941	0.787886996527	0.577662679167
AA	k17_Linf	0.5	0.1	4	2847	482	1322	297543	0.682897560976	0.732815923902
AA	k17_Linf	0.5	0.1	16	2665	5973	1241	292315	0.682283648687	0.172026612531
AA	k17_Linf	0.5	0.25	3	3730	543	809	297112	0.821766890906	0.598372736807
AA	k17_Linf	0.5	0.25	4	3622	430	1374	296768	0.724979969476	0.761640756007
AA	k17_Linf	0.5	0.25	16	3285	3423	3791	291695	0.464245329787	0.525505953348
AA	k17_Linf	0.5	0.5	3	4191	543	809	296651	0.838199983236	0.598372736807
AA	k17_Linf	0.5	0.5	4	4035	419	1385	296355	0.744464930914	0.767738316644
AA	k17_Linf	0.5	0.5	16	3696	1896	5318	291284	0.410028839472	0.73717769979
