DATA	k	p	q	error_length	FP	FN	TP	TN	FPR	Recall
RHOD	k17_Linf	0.1	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.1	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.25	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.25	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.25	0.1	32	224	1779	1388	256856	0.138957807757	0.438269641987
RHOD	k17_Linf	0.25	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.25	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.25	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.25	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.25	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.25	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.5	0.1	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.5	0.1	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.5	0.1	32	224	1779	1388	256856	0.138957807757	0.438269641987
RHOD	k17_Linf	0.5	0.25	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.5	0.25	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.5	0.25	32	233	1531	1636	256847	0.124665589906	0.516577186089
RHOD	k17_Linf	0.5	0.5	4	226	198	198	259625	0.533018742213	0.499999873737
RHOD	k17_Linf	0.5	0.5	8	193	136	656	259262	0.22732623942	0.828282723702
RHOD	k17_Linf	0.5	0.5	32	233	1531	1636	256847	0.124665589906	0.516577186089
aca	k5_L30	0.1	0.1	4	23	132	220	180512	0.0946501668106	0.624999822443
aca	k5_L30	0.1	0.1	8	18	192	512	180165	0.033962257743	0.727272623967
aca	k5_L30	0.1	0.1	32	36	639	2177	178035	0.0162675094321	0.77308235891
aca	k5_L30	0.1	0.25	4	23	132	220	180512	0.0946501668106	0.624999822443
aca	k5_L30	0.1	0.25	8	18	192	512	180165	0.033962257743	0.727272623967
aca	k5_L30	0.1	0.25	32	38	623	2193	178033	0.0170327199896	0.77876417689
aca	k5_L30	0.1	0.5	4	23	132	220	180512	0.0946501668106	0.624999822443
aca	k5_L30	0.1	0.5	8	18	192	512	180165	0.033962257743	0.727272623967
aca	k5_L30	0.1	0.5	32	38	623	2193	178033	0.0170327199896	0.77876417689
aca	k5_L30	0.25	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k5_L30	0.25	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k5_L30	0.25	0.1	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k5_L30	0.25	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k5_L30	0.25	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k5_L30	0.25	0.25	32	39	623	2193	178032	0.0174731174967	0.77876417689
aca	k5_L30	0.25	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k5_L30	0.25	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k5_L30	0.25	0.5	32	39	623	2193	178032	0.0174731174967	0.77876417689
aca	k5_L30	0.5	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k5_L30	0.5	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k5_L30	0.5	0.1	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k5_L30	0.5	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k5_L30	0.5	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k5_L30	0.5	0.25	32	39	623	2193	178032	0.0174731174967	0.77876417689
aca	k5_L30	0.5	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k5_L30	0.5	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k5_L30	0.5	0.5	32	39	623	2193	178032	0.0174731174967	0.77876417689
aca	k9_L54	0.1	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.1	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.1	0.1	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.1	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.1	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.1	0.25	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.1	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.1	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.1	0.5	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.25	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.25	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.25	0.1	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.25	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.25	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.25	0.25	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.25	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.25	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.25	0.5	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.5	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.5	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.5	0.1	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.5	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.5	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.5	0.25	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k9_L54	0.5	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k9_L54	0.5	0.5	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k9_L54	0.5	0.5	32	37	639	2177	178034	0.0167118330302	0.77308235891
aca	k17_Linf	0.1	0.1	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.1	0.1	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.1	0.1	32	22	1825	991	178049	0.0217176681424	0.351917601139
aca	k17_Linf	0.1	0.25	4	36	132	220	180499	0.140624945068	0.624999822443
aca	k17_Linf	0.1	0.25	8	30	192	512	180153	0.0553505432933	0.727272623967
aca	k17_Linf	0.1	0.25	32	37	640	2176	178034	0.0167193846941	0.772727245287
aca	k17_Linf	0.1	0.5	4	36	132	220	180499	0.140624945068	0.624999822443
