L
14
20
2
88
32
71
9
103
11
10
12
11
3
2
2
5
8
54
80
15
100
22
3
24
64
63
44
91
107
99
53
75
28
-5
84
45
41
22
210
61
32
21
99
27
10
37
23
30
23
12
353
4
56
120
30
17
17
2
24
4
80
13
50
44
26
200
140




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































